gender,condition,response,rt,key_t,img,pause_trigger_t,onset_word,onset_img,correct_resp,delay_frames_after,no,word_score_warriner,ID,img_trigger,scan day,duration_frames,word_label,offset_img,duration_measured_img,word_trigger,delay_frames_before,age,duration_measured_word,session,pause_trigger,word_score_pc,offset_word,word
male,faceWord_exp,,,,image_stim_n.png,2.6848902000056114,1.005746300012106,7.328196800022852,,180,1,4.57,kranalarm,22,Monday,42,neg,8.015250399999786,0.6870535999769345,12,336,20,0.6790563999966253,2,32,0.2032181950076048,1.6848027000087313,lab
male,faceWord_exp,b,0.5836353999911807,15.31314559999737,image_stim_p.png,12.713204400002724,11.017723900004057,14.729510200006189,1,336,2,6.17,kranalarm,21,Monday,42,pos,15.411238700005924,0.6817284999997355,11,180,20,0.6961401000153273,2,31,-1.3205598447631597,11.713864000019385,chicken
male,faceWord_exp,b,0.4262954999867361,27.755149500007974,image_stim_p.png,22.70793319999939,21.011137399997097,27.328854000021238,1,180,3,6.4,kranalarm,21,Monday,42,pos,28.02058890002081,0.6917348999995738,11,336,20,0.6967570999986492,2,31,-1.7947555393350414,21.707894499995746,piano
male,faceWord_exp,,,,image_stim_n.png,32.71974140001112,31.02293850001297,34.73678259999724,,336,4,4.43,kranalarm,22,Monday,42,neg,35.41784530002042,0.6810627000231761,12,180,20,0.6967588999832515,2,32,-0.14866519221167074,31.71969739999622,van
male,faceWord_exp,b,0.36524879999342375,45.09747249999782,image_stim_p.png,42.71553020001738,41.01820040002349,44.7322237000044,1,336,5,7.1,kranalarm,21,Monday,42,pos,45.412998400017386,0.6807747000129893,11,180,20,0.6957509999920148,2,31,-2.5746228757417584,41.7139514000155,barbecue
male,faceWord_exp,b,0.23193239999818616,57.55711550000706,image_stim_p.png,52.710633200011216,51.01468419999583,57.32518310000887,1,180,6,7.28,kranalarm,21,Monday,42,pos,58.006116900010966,0.6809338000020944,11,336,20,0.6946136000042316,2,31,-1.6425048482978826,51.70929780000006,knowledge
male,faceWord_exp,b,0.3150706999877002,65.03698470001109,image_stim_p.png,62.70437300001504,61.00824650001596,64.72191400002339,1,336,7,8.53,kranalarm,21,Monday,42,pos,65.40331480000168,0.6814007999782916,11,180,20,0.6962300000013784,2,31,-3.1565376907491283,61.704476500017336,vacation
male,faceWord_exp,b,0.4186803000047803,75.13626890000887,image_stim_p.png,72.69945680000819,71.00377110001864,74.71758860000409,1,336,8,6.95,kranalarm,21,Monday,42,pos,75.398144900013,0.6805563000089023,11,180,20,0.6954547999775968,2,31,-2.0702836690965865,71.69922589999624,restaurant
male,faceWord_exp,,,,image_stim_n.png,82.74001520001912,80.99888330002432,87.34321270001237,,180,9,2.53,kranalarm,22,Monday,42,neg,88.02429480000865,0.6810820999962743,12,336,20,0.6951887999894097,2,32,3.4296451702105397,81.69407210001373,angry
male,faceWord_exp,,,,image_stim_n.png,92.7225499000051,91.02641430002404,97.37363680000999,,180,10,4.35,kranalarm,22,Monday,42,neg,98.05363350000698,0.6799966999969911,12,336,20,0.6961805999744684,2,32,2.166481281776448,91.72259489999851,plea
